edge_index,raw_timer_ticks,monotonic_timestamp_us
311,1165617648,1164707040
312,1172583556,1171672948
313,1173585040,1172674432
314,1182007140,1181096532
315,1183682496,1182771888
316,1193229792,1192319184
317,1194020112,1193109504
318,1194667420,1193756812
319,1195934568,1195023960
320,1196179900,1195269292
321,1197942368,1197031760
322,1198436980,1197526372
323,1207390496,1206479888
324,1208362296,1207451688
325,1211517608,1210607000
326,1212929904,1212019296
327,1214682488,1213771880
328,1225677160,1224766552
329,1251301056,1250390448
330,1252788728,1251878120
331,1256254600,1255343992
332,1256736304,1255825696
333,1258267824,1257357216
334,1259420148,1258509540
335,1259558020,1258647412
336,1265747596,1264836988
337,1267510976,1266600368
338,1274329444,1273418836
339,1284208052,1283297444
340,1288203488,1287292880
341,1289625836,1288715228
342,1289989008,1289078400
343,1293871488,1292960880
344,1300388680,1299478072
345,1300722964,1299812356
346,1300831116,1299920508
347,1303677640,1302767032
348,1308111788,1307201180
349,1316989032,1316078424
350,1317065052,1316154444
351,1322001012,1321090404
352,1330600040,1329689432
353,1338290096,1337379488
354,1338723068,1337812460
355,1342266240,1341355632
356,1349891488,1348980880
357,1352012284,1351101676
358,1352524544,1351613936
359,1354791780,1353881172
360,1356112896,1355202288
361,1357844992,1356934384
362,1357955356,1357044748
363,1359218964,1358308356
364,1362806416,1361895808
365,1362972868,1362062260
366,1366253560,1365342952
367,1376865696,1375955088
368,1379717172,1378806564
369,1382277472,1381366864
370,1383112792,1382202184
371,1391329312,1390418704
372,1393389196,1392478588
373,1399430732,1398520124
374,1399482004,1398571396
375,1402002640,1401092032
376,1402853060,1401942452
377,1408521456,1407610848
378,1410856104,1409945496
379,1413732012,1412821404
380,1417765580,1416854972
381,1417963024,1417052416
382,1420973260,1420062652
383,1432377976,1431467368
384,1439520800,1438610192
385,1440721572,1439810964
386,1441852324,1440941716
387,1445824752,1444914144
388,1446995396,1446084788
389,1450989304,1450078696
390,1451698376,1450787768
391,1454119024,1453208416
392,1455757276,1454846668
393,1455900256,1454989648
394,1461296388,1460385780
395,1461596984,1460686376
396,1462964016,1462053408
397,1466166384,1465255776
398,1466478924,1465568316
399,1472375548,1471464940
400,1476421616,1475511008
401,1476732704,1475822096
402,1479313376,1478402768
403,1489408316,1488497708
404,1491414912,1490504304
405,1491860284,1490949676
406,1493332096,1492421488
407,1494264176,1493353568
408,1499193112,1498282504
409,1513235064,1512324456
410,1518205620,1517295012
411,1519114868,1518204260
412,1520981788,1520071180
413,1524367036,1523456428
414,1525485620,1524575012
415,1527059708,1526149100
416,1527218352,1526307744
417,1528138572,1527227964
418,1547894860,1546984252
419,1549608292,1548697684
420,1551692024,1550781416
421,1552939564,1552028956
422,1559774928,1558864320
423,1569293548,1568382940
424,1572252788,1571342180
425,1576020940,1575110332
426,1576917880,1576007272
427,1579859228,1578948620
428,1581825208,1580914600
429,1583539812,1582629204
430,1592051456,1591140848
431,1594629196,1593718588
432,1596434764,1595524156
433,1600756160,1599845552
434,1606358560,1605447952
435,1607380016,1606469408
